REFERENCIA;DESCRIPCION;INVIMA
187174-RT;2.0-Mini Placa Recta de 4 Orificios  s/p;Invima:2025DM-0031031
187176-RT;2.0-Mini Placa Recta de 6 Orificios  s/p;Invima:2025DM-0031031
187178-RT;2.0-Mini Placa Recta de 8 Orificios  s/p;Invima:2025DM-0031031
1871710-RT;2.0-Mini Placa Recta de 10 Orificios  s/p;Invima:2025DM-0031031
1871712-RT;2.0-Mini Placa Recta de 12 Orificios  s/p;Invima:2025DM-0031031
1871716-RT;2.0-Mini Placa Recta de 16 Orificios  s/p;Invima:2025DM-0031031
187174-RP6T;2.0-Mini Placa Recta de 4 Orificios  Puente Corto;Invima:2025DM-0031031
187174-RP9T;2.0-Mini Placa Recta de 4 Orificios  Puente Medio;Invima:2025DM-0031031
187174-RP12T;2.0-Mini Placa Recta de 4 Orificios  Puente Largo;Invima:2025DM-0031031
187176-RP6T;2.0-Mini Placa Recta de 6 Orificios  Puente Corto;Invima:2025DM-0031031
187176-RP12T;2.0-Mini Placa Recta de 6 Orificios  Puente Largo;Invima:2025DM-0031031
187176-OT;2.0-Mini Placa Curva Orbital de 6 Orificios ;Invima:2025DM-0031031
187178-OT;2.0-Mini Placa Curva Orbital de 8 Orificios ;Invima:2025DM-0031031
1871710-OT;2.0-Mini Placa Curva Orbital de 10 Orificios  ;Invima:2025DM-0031031
187164-OPT;2.0-Mini Placa Curva Orbital de 4 Orificios con puente;Invima:2025DM-0031031
187166-OPT;2.0-Mini Placa Curva Orbital de 6 Orificios con puente;Invima:2025DM-0031031
187168-OPT;2.0-Mini Placa Curva Orbital de 8 Orificios con puente;Invima:2025DM-0031031
187175-YT;2.0-Mini Placa en Y de 5 Orificios  S/P;Invima:2025DM-0031031
187175-YP6T;2.0-Mini Placa en Y de 5 Orificios  Puente Corto;Invima:2025DM-0031031
187175-YP8T;2.0-Mini Placa en Y de 5 Orificios  Puente Medio;Invima:2025DM-0031031
187175-YP12T;2.0-Mini Placa en Y de 5 Orificios  Puente Largo;Invima:2025DM-0031031
187176-YDBT;2.0-Mini Placa doble Y de 6 Orificios  s/p;Invima:2025DM-0031031
187176-YDBP6T;2.0-Mini Placa doble Y de 6 Orificios  Puente Corto;Invima:2025DM-0031031
187176-YDBP8T;2.0-Mini Placa doble Y de 6 Orificios  Puente Medio;Invima:2025DM-0031031
187176-YDBP12T;2.0-Mini Placa doble Y de 6 Orificios  Puente Largo;Invima:2025DM-0031031
187177-YDBT;2.0-Mini Placa doble Y de 7 Orificios  s/p;Invima:2025DM-0031031
187176-TT;2.0-Mini Placa en T de 6 Orificios  s/p;Invima:2025DM-0031031
187175-TP8T;2.0-Mini Placa en T de 5 Orificios  Puente Medio;Invima:2025DM-0031031
187175-TP12T;2.0-Mini Placa en T de 5 Orificios  Puente Largo;Invima:2025DM-0031031
187176-TDBT;2.0-Mini Placa doble T de 6 Orificios;Invima:2025DM-0031031
187174-LIT;2.0-Mini Placa en L de 4 Orificios s/p Izquierda;Invima:2025DM-0031031
187174-LDT;2.0-Mini Placa en L de 4 Orificios s/p Derecha;Invima:2025DM-0031031
